,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
0,0,1,22,1,1,1.0,0,4.0,0
2,1,0,67,0,4,1.0,0,1.0,3
3,0,0,67,0,6,0.0,2,2.0,3
5,0,0,56,1,0,0.0,1,2.0,1
6,0,1,32,0,1,1.0,0,3.0,1
7,1,1,33,0,1,1.0,0,3.0,0
8,1,0,61,0,4,0.0,0,3.0,0
9,1,0,55,0,0,1.0,1,4.0,1
10,1,1,26,0,4,1.0,0,3.0,2
11,0,1,19,1,1,4.0,0,4.0,0
14,1,0,58,1,3,0.0,0,1.0,3
15,1,1,41,1,1,1.0,0,2.0,1
16,1,1,32,1,8,9.0,0,5.0,0
17,0,1,31,1,1,1.0,0,6.0,3
18,0,0,58,0,2,1.0,1,4.0,3
19,1,0,79,0,0,0.0,2,1.0,1
20,0,0,49,0,8,12.0,0,1.0,2
21,1,1,18,1,1,3.0,0,4.0,0
22,0,0,33,0,0,13.0,0,2.0,2
23,1,1,36,0,0,5.0,0,2.0,3
25,0,0,56,1,0,1.0,1,3.0,1
26,0,1,31,1,1,9.0,0,8.0,2
27,0,0,49,0,0,1.0,1,3.0,1
28,0,1,35,0,0,0.0,0,1.0,3
29,1,1,35,1,0,5.0,0,4.0,1
30,1,0,45,0,0,0.0,0,3.0,1
31,1,0,42,1,3,1.0,0,2.0,2
32,0,1,19,1,1,1.0,0,3.0,0
34,1,0,83,1,6,1.0,2,2.0,0
35,1,1,27,0,1,3.0,0,4.0,0
36,0,1,32,1,3,5.0,0,1.0,0
37,1,0,28,1,1,1.0,1,5.0,0
38,1,0,28,0,0,8.0,0,2.0,2
40,1,1,47,0,0,4.0,0,1.0,3
41,1,1,22,1,1,0.0,0,2.0,0
42,1,1,27,0,0,14.0,0,3.0,2
43,1,0,49,0,0,1.0,0,2.0,1
44,0,0,40,1,4,8.0,0,1.0,2
46,0,0,41,0,0,0.0,1,4.0,3
48,0,1,19,1,1,0.0,0,4.0,0
49,1,1,45,0,4,1.0,0,1.0,2
50,1,0,61,1,0,1.0,1,2.0,3
51,1,0,36,0,0,1.0,1,2.0,1
52,0,0,40,0,0,1.0,0,1.0,2
53,1,0,57,0,2,0.0,1,2.0,1
54,0,0,76,1,7,1.0,0,1.0,2
55,0,0,32,0,0,14.0,1,2.0,3
56,0,1,25,0,1,9.0,0,4.0,0
58,1,0,45,0,0,1.0,1,3.0,1
60,0,0,48,0,0,0.0,1,2.0,1
61,0,0,55,0,0,9.0,1,2.0,1
62,0,0,74,0,6,0.0,2,3.0,0
63,0,0,56,0,6,1.0,2,2.0,2
64,0,0,59,0,6,7.0,2,2.0,2
65,0,1,25,0,2,0.0,0,2.0,2
66,0,0,31,0,3,0.0,1,2.0,2
67,0,1,27,1,0,8.0,0,4.0,2
68,0,0,57,0,0,0.0,1,4.0,3
70,0,0,27,0,1,8.0,0,2.0,0
71,1,0,51,0,2,8.0,1,2.0,2
72,1,0,47,1,0,0.0,1,5.0,3
73,1,1,33,1,1,8.0,0,4.0,0
74,0,0,56,0,0,0.0,1,4.0,1
75,1,1,33,1,8,0.0,0,3.0,3
76,1,1,36,0,3,0.0,0,2.0,0
77,0,0,51,1,0,4.0,0,3.0,2
78,0,0,45,0,4,2.0,1,2.0,1
80,0,1,30,1,1,0.0,0,4.0,1
81,1,1,26,1,1,6.0,0,3.0,0
82,0,0,63,0,0,8.0,0,1.0,2
83,0,0,35,1,2,8.0,1,4.0,3
84,1,1,19,1,7,1.0,0,3.0,2
85,0,1,32,1,1,7.0,0,5.0,0
86,0,0,52,0,0,0.0,1,3.0,1
87,1,0,36,0,0,5.0,0,2.0,1
88,1,1,42,1,2,7.0,0,3.0,0
89,0,0,40,1,3,0.0,1,2.0,0
90,0,1,39,0,2,0.0,0,3.0,3
91,1,0,47,0,0,1.0,1,4.0,1
92,1,0,61,0,0,1.0,2,2.0,1
93,0,0,32,1,2,1.0,0,2.0,0
94,0,0,55,1,0,0.0,0,1.0,3
96,1,1,38,0,0,0.0,0,1.0,0
97,0,0,63,0,0,0.0,2,2.0,1
98,0,0,58,0,3,1.0,1,2.0,1
99,0,0,30,1,4,3.0,1,3.0,0
100,0,0,60,0,0,0.0,1,4.0,1
101,0,0,68,1,5,1.0,2,7.0,3
102,0,0,52,1,0,0.0,0,3.0,2
103,0,0,38,1,5,0.0,2,5.0,2
104,1,0,35,0,1,10.0,0,2.0,3
105,0,1,18,1,3,1.0,0,2.0,0
106,0,0,30,0,8,3.0,0,2.0,0
107,0,1,86,1,6,1.0,0,1.0,0
109,0,1,25,1,1,9.0,0,3.0,0
111,1,1,39,0,0,0.0,0,1.0,2
113,0,1,47,0,0,1.0,0,1.0,1
114,0,0,43,0,5,0.0,2,3.0,0
115,0,0,36,1,5,8.0,1,4.0,3
116,0,0,80,1,6,1.0,0,1.0,0
117,0,1,36,0,0,0.0,0,2.0,1
119,1,0,37,0,0,1.0,2,2.0,2
120,0,0,46,0,5,0.0,2,3.0,1
121,0,0,55,1,5,1.0,2,4.0,3
122,1,0,47,1,4,9.0,1,4.0,3
123,1,1,28,0,1,1.0,0,3.0,0
124,0,0,39,1,2,9.0,0,2.0,0
